"","desokod","upplåtelseform","år","Antal"
"1","0305A0010","hyresrätt",2024,39
"2","0305A0010","bostadsrätt",2024,0
"3","0305A0010","äganderätt",2024,987
"4","0305A0010","uppgift saknas",2024,4
"5","0305B2010","hyresrätt",2024,170
"6","0305B2010","bostadsrätt",2024,112
"7","0305B2010","äganderätt",2024,571
"8","0305B2010","uppgift saknas",2024,0
"9","0305C1011","hyresrätt",2024,14
"10","0305C1011","bostadsrätt",2024,106
"11","0305C1011","äganderätt",2024,366
"12","0305C1011","uppgift saknas",2024,0
"13","0305C1012","hyresrätt",2024,7
"14","0305C1012","bostadsrätt",2024,26
"15","0305C1012","äganderätt",2024,538
"16","0305C1012","uppgift saknas",2024,0
"17","0305C1020","hyresrätt",2024,311
"18","0305C1020","bostadsrätt",2024,16
"19","0305C1020","äganderätt",2024,325
"20","0305C1020","uppgift saknas",2024,0
"21","0305C1030","hyresrätt",2024,413
"22","0305C1030","bostadsrätt",2024,248
"23","0305C1030","äganderätt",2024,707
"24","0305C1030","uppgift saknas",2024,0
"25","0305C1040","hyresrätt",2024,905
"26","0305C1040","bostadsrätt",2024,226
"27","0305C1040","äganderätt",2024,127
"28","0305C1040","uppgift saknas",2024,0
"29","0305C1050","hyresrätt",2024,19
"30","0305C1050","bostadsrätt",2024,128
"31","0305C1050","äganderätt",2024,646
"32","0305C1050","uppgift saknas",2024,0
"33","0305C1060","hyresrätt",2024,572
"34","0305C1060","bostadsrätt",2024,410
"35","0305C1060","äganderätt",2024,499
"36","0305C1060","uppgift saknas",2024,0
"37","0305C1070","hyresrätt",2024,2
"38","0305C1070","bostadsrätt",2024,120
"39","0305C1070","äganderätt",2024,518
"40","0305C1070","uppgift saknas",2024,0
"41","0305C1080","hyresrätt",2024,129
"42","0305C1080","bostadsrätt",2024,133
"43","0305C1080","äganderätt",2024,391
"44","0305C1080","uppgift saknas",2024,0
"45","Håbo (Centrala Bålsta-Mansängen)","hyresrätt",2024,905
"46","Håbo (Centrala Bålsta-Mansängen)","bostadsrätt",2024,226
"47","Håbo (Centrala Bålsta-Mansängen)","äganderätt",2024,127
"48","Håbo (Centrala Bålsta-Mansängen)","uppgift saknas",2024,0
"49","Håbo (Dyarne-Fånäs-Kalmarsand)","hyresrätt",2024,311
"50","Håbo (Dyarne-Fånäs-Kalmarsand)","bostadsrätt",2024,16
"51","Håbo (Dyarne-Fånäs-Kalmarsand)","äganderätt",2024,325
"52","Håbo (Dyarne-Fånäs-Kalmarsand)","uppgift saknas",2024,0
"53","Håbo (Håbo landsbygd)","hyresrätt",2024,39
