"region","hustyp","ägarkategori","år","Antal"
"Håbo","småhus","stat, kommun, region","2013",11
"Håbo","småhus","stat, kommun, region","2014",5
"Håbo","småhus","stat, kommun, region","2015",5
"Håbo","småhus","stat, kommun, region","2016",5
"Håbo","småhus","stat, kommun, region","2017",5
"Håbo","småhus","stat, kommun, region","2018",6
"Håbo","småhus","stat, kommun, region","2019",7
"Håbo","småhus","stat, kommun, region","2020",7
"Håbo","småhus","stat, kommun, region","2021",8
"Håbo","småhus","stat, kommun, region","2022",8
"Håbo","småhus","stat, kommun, region","2023",8
"Håbo","småhus","stat, kommun, region","2024",8
"Håbo","småhus","allmännyttiga bostadsföretag","2013",41
"Håbo","småhus","allmännyttiga bostadsföretag","2014",37
"Håbo","småhus","allmännyttiga bostadsföretag","2015",30
"Håbo","småhus","allmännyttiga bostadsföretag","2016",12
"Håbo","småhus","allmännyttiga bostadsföretag","2017",12
"Håbo","småhus","allmännyttiga bostadsföretag","2018",12
"Håbo","småhus","allmännyttiga bostadsföretag","2019",12
"Håbo","småhus","allmännyttiga bostadsföretag","2020",12
"Håbo","småhus","allmännyttiga bostadsföretag","2021",12
"Håbo","småhus","allmännyttiga bostadsföretag","2022",12
"Håbo","småhus","allmännyttiga bostadsföretag","2023",12
"Håbo","småhus","allmännyttiga bostadsföretag","2024",12
"Håbo","småhus","kooperativa hyresrättsföreningar","2013",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2014",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2015",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2016",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2017",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2018",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2019",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2020",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2021",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2022",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2023",0
"Håbo","småhus","kooperativa hyresrättsföreningar","2024",0
"Håbo","småhus","bostadsrättsföreningar","2013",305
"Håbo","småhus","bostadsrättsföreningar","2014",309
"Håbo","småhus","bostadsrättsföreningar","2015",321
"Håbo","småhus","bostadsrättsföreningar","2016",357
"Håbo","småhus","bostadsrättsföreningar","2017",366
"Håbo","småhus","bostadsrättsföreningar","2018",382
"Håbo","småhus","bostadsrättsföreningar","2019",440
"Håbo","småhus","bostadsrättsföreningar","2020",440
"Håbo","småhus","bostadsrättsföreningar","2021",490
"Håbo","småhus","bostadsrättsföreningar","2022",490
"Håbo","småhus","bostadsrättsföreningar","2023",490
"Håbo","småhus","bostadsrättsföreningar","2024",506
"Håbo","småhus","fysiska personer","2013",5263
"Håbo","småhus","fysiska personer","2014",5285
"Håbo","småhus","fysiska personer","2015",5329
"Håbo","småhus","fysiska personer","2016",5444
"Håbo","småhus","fysiska personer","2017",5519
"Håbo","småhus","fysiska personer","2018",5573
"Håbo","småhus","fysiska personer","2019",5606
"Håbo","småhus","fysiska personer","2020",5640
"Håbo","småhus","fysiska personer","2021",5654
"Håbo","småhus","fysiska personer","2022",5697
"Håbo","småhus","fysiska personer","2023",5699
"Håbo","småhus","fysiska personer","2024",5675
"Håbo","småhus","svenska aktiebolag","2013",39
"Håbo","småhus","svenska aktiebolag","2014",41
"Håbo","småhus","svenska aktiebolag","2015",37
"Håbo","småhus","svenska aktiebolag","2016",60
