"region","hustyp","bostadsarea","år","Antal"
"Håbo","småhus","< 31 kvm","2013",7
"Håbo","småhus","< 31 kvm","2014",7
"Håbo","småhus","< 31 kvm","2015",8
"Håbo","småhus","< 31 kvm","2016",7
"Håbo","småhus","< 31 kvm","2017",8
"Håbo","småhus","< 31 kvm","2018",28
"Håbo","småhus","< 31 kvm","2019",29
"Håbo","småhus","< 31 kvm","2020",33
"Håbo","småhus","< 31 kvm","2021",33
"Håbo","småhus","< 31 kvm","2022",31
"Håbo","småhus","< 31 kvm","2023",31
"Håbo","småhus","< 31 kvm","2024",32
"Håbo","småhus","31-40 kvm","2013",43
"Håbo","småhus","31-40 kvm","2014",48
"Håbo","småhus","31-40 kvm","2015",50
"Håbo","småhus","31-40 kvm","2016",55
"Håbo","småhus","31-40 kvm","2017",56
"Håbo","småhus","31-40 kvm","2018",58
"Håbo","småhus","31-40 kvm","2019",58
"Håbo","småhus","31-40 kvm","2020",59
"Håbo","småhus","31-40 kvm","2021",61
"Håbo","småhus","31-40 kvm","2022",61
"Håbo","småhus","31-40 kvm","2023",63
"Håbo","småhus","31-40 kvm","2024",63
"Håbo","småhus","41-50 kvm","2013",71
"Håbo","småhus","41-50 kvm","2014",70
"Håbo","småhus","41-50 kvm","2015",71
"Håbo","småhus","41-50 kvm","2016",70
"Håbo","småhus","41-50 kvm","2017",84
"Håbo","småhus","41-50 kvm","2018",91
"Håbo","småhus","41-50 kvm","2019",96
"Håbo","småhus","41-50 kvm","2020",96
"Håbo","småhus","41-50 kvm","2021",95
"Håbo","småhus","41-50 kvm","2022",103
"Håbo","småhus","41-50 kvm","2023",104
"Håbo","småhus","41-50 kvm","2024",109
"Håbo","småhus","51-60 kvm","2013",132
"Håbo","småhus","51-60 kvm","2014",126
"Håbo","småhus","51-60 kvm","2015",126
"Håbo","småhus","51-60 kvm","2016",132
"Håbo","småhus","51-60 kvm","2017",135
"Håbo","småhus","51-60 kvm","2018",139
"Håbo","småhus","51-60 kvm","2019",136
"Håbo","småhus","51-60 kvm","2020",140
"Håbo","småhus","51-60 kvm","2021",134
"Håbo","småhus","51-60 kvm","2022",141
"Håbo","småhus","51-60 kvm","2023",141
"Håbo","småhus","51-60 kvm","2024",139
"Håbo","småhus","61-70 kvm","2013",185
"Håbo","småhus","61-70 kvm","2014",179
"Håbo","småhus","61-70 kvm","2015",184
"Håbo","småhus","61-70 kvm","2016",188
"Håbo","småhus","61-70 kvm","2017",189
"Håbo","småhus","61-70 kvm","2018",189
"Håbo","småhus","61-70 kvm","2019",191
"Håbo","småhus","61-70 kvm","2020",189
"Håbo","småhus","61-70 kvm","2021",190
"Håbo","småhus","61-70 kvm","2022",193
"Håbo","småhus","61-70 kvm","2023",188
"Håbo","småhus","61-70 kvm","2024",189
"Håbo","småhus","71-80 kvm","2013",311
"Håbo","småhus","71-80 kvm","2014",315
"Håbo","småhus","71-80 kvm","2015",329
"Håbo","småhus","71-80 kvm","2016",333
"Håbo","småhus","71-80 kvm","2017",338
"Håbo","småhus","71-80 kvm","2018",358
"Håbo","småhus","71-80 kvm","2019",361
"Håbo","småhus","71-80 kvm","2020",363
"Håbo","småhus","71-80 kvm","2021",365
"Håbo","småhus","71-80 kvm","2022",371
"Håbo","småhus","71-80 kvm","2023",368
"Håbo","småhus","71-80 kvm","2024",371
"Håbo","småhus","81-90 kvm","2013",279
"Håbo","småhus","81-90 kvm","2014",282
"Håbo","småhus","81-90 kvm","2015",281
