"region","hustyp","byggnadsperiod","år","Antal"
"Håbo","småhus","-1930","2013",250
"Håbo","småhus","-1930","2014",296
"Håbo","småhus","-1930","2015",244
"Håbo","småhus","-1930","2016",302
"Håbo","småhus","-1930","2017",302
"Håbo","småhus","-1930","2018",256
"Håbo","småhus","-1930","2019",262
"Håbo","småhus","-1930","2020",263
"Håbo","småhus","-1930","2021",254
"Håbo","småhus","-1930","2022",262
"Håbo","småhus","-1930","2023",257
"Håbo","småhus","-1930","2024",256
"Håbo","småhus","1931-1940","2013",71
"Håbo","småhus","1931-1940","2014",77
"Håbo","småhus","1931-1940","2015",75
"Håbo","småhus","1931-1940","2016",75
"Håbo","småhus","1931-1940","2017",71
"Håbo","småhus","1931-1940","2018",73
"Håbo","småhus","1931-1940","2019",71
"Håbo","småhus","1931-1940","2020",73
"Håbo","småhus","1931-1940","2021",69
"Håbo","småhus","1931-1940","2022",73
"Håbo","småhus","1931-1940","2023",75
"Håbo","småhus","1931-1940","2024",74
"Håbo","småhus","1941-1950","2013",109
"Håbo","småhus","1941-1950","2014",109
"Håbo","småhus","1941-1950","2015",110
"Håbo","småhus","1941-1950","2016",109
"Håbo","småhus","1941-1950","2017",108
"Håbo","småhus","1941-1950","2018",106
"Håbo","småhus","1941-1950","2019",106
"Håbo","småhus","1941-1950","2020",104
"Håbo","småhus","1941-1950","2021",102
"Håbo","småhus","1941-1950","2022",104
"Håbo","småhus","1941-1950","2023",105
"Håbo","småhus","1941-1950","2024",105
"Håbo","småhus","1951-1960","2013",154
"Håbo","småhus","1951-1960","2014",154
"Håbo","småhus","1951-1960","2015",154
"Håbo","småhus","1951-1960","2016",155
"Håbo","småhus","1951-1960","2017",156
"Håbo","småhus","1951-1960","2018",158
"Håbo","småhus","1951-1960","2019",156
"Håbo","småhus","1951-1960","2020",157
"Håbo","småhus","1951-1960","2021",158
"Håbo","småhus","1951-1960","2022",161
"Håbo","småhus","1951-1960","2023",161
"Håbo","småhus","1951-1960","2024",159
"Håbo","småhus","1961-1970","2013",775
"Håbo","småhus","1961-1970","2014",782
"Håbo","småhus","1961-1970","2015",792
"Håbo","småhus","1961-1970","2016",795
"Håbo","småhus","1961-1970","2017",801
"Håbo","småhus","1961-1970","2018",804
"Håbo","småhus","1961-1970","2019",805
"Håbo","småhus","1961-1970","2020",806
"Håbo","småhus","1961-1970","2021",808
"Håbo","småhus","1961-1970","2022",816
"Håbo","småhus","1961-1970","2023",810
"Håbo","småhus","1961-1970","2024",803
"Håbo","småhus","1971-1980","2013",2435
"Håbo","småhus","1971-1980","2014",2436
"Håbo","småhus","1971-1980","2015",2430
"Håbo","småhus","1971-1980","2016",2446
"Håbo","småhus","1971-1980","2017",2443
"Håbo","småhus","1971-1980","2018",2451
"Håbo","småhus","1971-1980","2019",2444
"Håbo","småhus","1971-1980","2020",2455
"Håbo","småhus","1971-1980","2021",2448
"Håbo","småhus","1971-1980","2022",2455
"Håbo","småhus","1971-1980","2023",2446
"Håbo","småhus","1971-1980","2024",2431
"Håbo","småhus","1981-1990","2013",835
"Håbo","småhus","1981-1990","2014",775
"Håbo","småhus","1981-1990","2015",831
"Håbo","småhus","1981-1990","2016",778
"Håbo","småhus","1981-1990","2017",789
"Håbo","småhus","1981-1990","2018",837
"Håbo","småhus","1981-1990","2019",835
"Håbo","småhus","1981-1990","2020",839
"Håbo","småhus","1981-1990","2021",837
"Håbo","småhus","1981-1990","2022",840
"Håbo","småhus","1981-1990","2023",842
"Håbo","småhus","1981-1990","2024",843
"Håbo","småhus","1991-2000","2013",503
"Håbo","småhus","1991-2000","2014",512
"Håbo","småhus","1991-2000","2015",514
"Håbo","småhus","1991-2000","2016",545
"Håbo","småhus","1991-2000","2017",558
"Håbo","småhus","1991-2000","2018",561
"Håbo","småhus","1991-2000","2019",562
"Håbo","småhus","1991-2000","2020",563
"Håbo","småhus","1991-2000","2021",563
"Håbo","småhus","1991-2000","2022",567
"Håbo","småhus","1991-2000","2023",564
"Håbo","småhus","1991-2000","2024",564
"Håbo","småhus","2001-2010","2013",491
"Håbo","småhus","2001-2010","2014",489
"Håbo","småhus","2001-2010","2015",490
"Håbo","småhus","2001-2010","2016",495
"Håbo","småhus","2001-2010","2017",499
"Håbo","småhus","2001-2010","2018",498
"Håbo","småhus","2001-2010","2019",501
"Håbo","småhus","2001-2010","2020",502
"Håbo","småhus","2001-2010","2021",504
"Håbo","småhus","2001-2010","2022",505
"Håbo","småhus","2001-2010","2023",504
"Håbo","småhus","2001-2010","2024",504
"Håbo","småhus","2011-2020","2013",68
"Håbo","småhus","2011-2020","2014",90
"Håbo","småhus","2011-2020","2015",125
"Håbo","småhus","2011-2020","2016",179
"Håbo","småhus","2011-2020","2017",266
"Håbo","småhus","2011-2020","2018",358
"Håbo","småhus","2011-2020","2019",410
"Håbo","småhus","2011-2020","2020",424
"Håbo","småhus","2011-2020","2021",463
"Håbo","småhus","2011-2020","2022",461
"Håbo","småhus","2011-2020","2023",466
"Håbo","småhus","2011-2020","2024",462
"Håbo","småhus","2021-","2013",0
"Håbo","småhus","2021-","2014",0
"Håbo","småhus","2021-","2015",0
"Håbo","småhus","2021-","2016",0
"Håbo","småhus","2021-","2017",0
"Håbo","småhus","2021-","2018",0
"Håbo","småhus","2021-","2019",0
"Håbo","småhus","2021-","2020",0
"Håbo","småhus","2021-","2021",46
"Håbo","småhus","2021-","2022",56
"Håbo","småhus","2021-","2023",66
"Håbo","småhus","2021-","2024",92
"Håbo","småhus","uppgift saknas","2013",17
"Håbo","småhus","uppgift saknas","2014",3
"Håbo","småhus","uppgift saknas","2015",1
"Håbo","småhus","uppgift saknas","2016",15
"Håbo","småhus","uppgift saknas","2017",12
"Håbo","småhus","uppgift saknas","2018",10
"Håbo","småhus","uppgift saknas","2019",10
"Håbo","småhus","uppgift saknas","2020",8
"Håbo","småhus","uppgift saknas","2021",10
"Håbo","småhus","uppgift saknas","2022",11
"Håbo","småhus","uppgift saknas","2023",8
"Håbo","småhus","uppgift saknas","2024",7
"Håbo","flerbostadshus","-1930","2013",4
"Håbo","flerbostadshus","-1930","2014",4
"Håbo","flerbostadshus","-1930","2015",4
"Håbo","flerbostadshus","-1930","2016",4
"Håbo","flerbostadshus","-1930","2017",4
"Håbo","flerbostadshus","-1930","2018",4
"Håbo","flerbostadshus","-1930","2019",4
"Håbo","flerbostadshus","-1930","2020",4
"Håbo","flerbostadshus","-1930","2021",4
"Håbo","flerbostadshus","-1930","2022",4
"Håbo","flerbostadshus","-1930","2023",4
"Håbo","flerbostadshus","-1930","2024",4
"Håbo","flerbostadshus","1931-1940","2013",10
"Håbo","flerbostadshus","1931-1940","2014",10
"Håbo","flerbostadshus","1931-1940","2015",10
"Håbo","flerbostadshus","1931-1940","2016",10
"Håbo","flerbostadshus","1931-1940","2017",10
"Håbo","flerbostadshus","1931-1940","2018",10
"Håbo","flerbostadshus","1931-1940","2019",10
"Håbo","flerbostadshus","1931-1940","2020",10
"Håbo","flerbostadshus","1931-1940","2021",10
"Håbo","flerbostadshus","1931-1940","2022",10
"Håbo","flerbostadshus","1931-1940","2023",10
"Håbo","flerbostadshus","1931-1940","2024",10
"Håbo","flerbostadshus","1941-1950","2013",0
"Håbo","flerbostadshus","1941-1950","2014",0
"Håbo","flerbostadshus","1941-1950","2015",0
"Håbo","flerbostadshus","1941-1950","2016",0
"Håbo","flerbostadshus","1941-1950","2017",0
"Håbo","flerbostadshus","1941-1950","2018",0
"Håbo","flerbostadshus","1941-1950","2019",0
"Håbo","flerbostadshus","1941-1950","2020",0
"Håbo","flerbostadshus","1941-1950","2021",0
"Håbo","flerbostadshus","1941-1950","2022",0
"Håbo","flerbostadshus","1941-1950","2023",0
"Håbo","flerbostadshus","1941-1950","2024",0
"Håbo","flerbostadshus","1951-1960","2013",79
"Håbo","flerbostadshus","1951-1960","2014",79
"Håbo","flerbostadshus","1951-1960","2015",79
"Håbo","flerbostadshus","1951-1960","2016",79
"Håbo","flerbostadshus","1951-1960","2017",79
"Håbo","flerbostadshus","1951-1960","2018",79
"Håbo","flerbostadshus","1951-1960","2019",79
"Håbo","flerbostadshus","1951-1960","2020",79
"Håbo","flerbostadshus","1951-1960","2021",79
"Håbo","flerbostadshus","1951-1960","2022",79
"Håbo","flerbostadshus","1951-1960","2023",79
"Håbo","flerbostadshus","1951-1960","2024",79
"Håbo","flerbostadshus","1961-1970","2013",803
"Håbo","flerbostadshus","1961-1970","2014",803
"Håbo","flerbostadshus","1961-1970","2015",804
"Håbo","flerbostadshus","1961-1970","2016",804
"Håbo","flerbostadshus","1961-1970","2017",804
"Håbo","flerbostadshus","1961-1970","2018",804
"Håbo","flerbostadshus","1961-1970","2019",804
"Håbo","flerbostadshus","1961-1970","2020",804
"Håbo","flerbostadshus","1961-1970","2021",804
"Håbo","flerbostadshus","1961-1970","2022",817
"Håbo","flerbostadshus","1961-1970","2023",817
"Håbo","flerbostadshus","1961-1970","2024",817
"Håbo","flerbostadshus","1971-1980","2013",0
"Håbo","flerbostadshus","1971-1980","2014",0
"Håbo","flerbostadshus","1971-1980","2015",0
"Håbo","flerbostadshus","1971-1980","2016",0
"Håbo","flerbostadshus","1971-1980","2017",0
"Håbo","flerbostadshus","1971-1980","2018",0
"Håbo","flerbostadshus","1971-1980","2019",0
"Håbo","flerbostadshus","1971-1980","2020",0
"Håbo","flerbostadshus","1971-1980","2021",0
"Håbo","flerbostadshus","1971-1980","2022",0
"Håbo","flerbostadshus","1971-1980","2023",0
"Håbo","flerbostadshus","1971-1980","2024",0
"Håbo","flerbostadshus","1981-1990","2013",442
"Håbo","flerbostadshus","1981-1990","2014",442
"Håbo","flerbostadshus","1981-1990","2015",442
"Håbo","flerbostadshus","1981-1990","2016",442
"Håbo","flerbostadshus","1981-1990","2017",442
"Håbo","flerbostadshus","1981-1990","2018",442
"Håbo","flerbostadshus","1981-1990","2019",442
"Håbo","flerbostadshus","1981-1990","2020",442
"Håbo","flerbostadshus","1981-1990","2021",442
"Håbo","flerbostadshus","1981-1990","2022",442
"Håbo","flerbostadshus","1981-1990","2023",442
"Håbo","flerbostadshus","1981-1990","2024",442
"Håbo","flerbostadshus","1991-2000","2013",399
"Håbo","flerbostadshus","1991-2000","2014",398
"Håbo","flerbostadshus","1991-2000","2015",398
"Håbo","flerbostadshus","1991-2000","2016",398
"Håbo","flerbostadshus","1991-2000","2017",398
"Håbo","flerbostadshus","1991-2000","2018",398
"Håbo","flerbostadshus","1991-2000","2019",398
"Håbo","flerbostadshus","1991-2000","2020",398
"Håbo","flerbostadshus","1991-2000","2021",398
"Håbo","flerbostadshus","1991-2000","2022",398
"Håbo","flerbostadshus","1991-2000","2023",398
"Håbo","flerbostadshus","1991-2000","2024",398
"Håbo","flerbostadshus","2001-2010","2013",332
"Håbo","flerbostadshus","2001-2010","2014",333
"Håbo","flerbostadshus","2001-2010","2015",333
"Håbo","flerbostadshus","2001-2010","2016",333
"Håbo","flerbostadshus","2001-2010","2017",333
"Håbo","flerbostadshus","2001-2010","2018",333
"Håbo","flerbostadshus","2001-2010","2019",376
"Håbo","flerbostadshus","2001-2010","2020",376
"Håbo","flerbostadshus","2001-2010","2021",376
"Håbo","flerbostadshus","2001-2010","2022",376
"Håbo","flerbostadshus","2001-2010","2023",376
"Håbo","flerbostadshus","2001-2010","2024",376
"Håbo","flerbostadshus","2011-2020","2013",44
"Håbo","flerbostadshus","2011-2020","2014",50
"Håbo","flerbostadshus","2011-2020","2015",50
"Håbo","flerbostadshus","2011-2020","2016",98
"Håbo","flerbostadshus","2011-2020","2017",160
"Håbo","flerbostadshus","2011-2020","2018",223
"Håbo","flerbostadshus","2011-2020","2019",427
"Håbo","flerbostadshus","2011-2020","2020",445
"Håbo","flerbostadshus","2011-2020","2021",445
"Håbo","flerbostadshus","2011-2020","2022",445
"Håbo","flerbostadshus","2011-2020","2023",456
"Håbo","flerbostadshus","2011-2020","2024",456
