"region","upplåtelseform","år","Antal"
"0305A0010","hyresrätt","2024",39
"0305A0010","bostadsrätt","2024",0
"0305A0010","äganderätt","2024",987
"0305A0010","uppgift saknas","2024",4
"0305B2010","hyresrätt","2024",170
"0305B2010","bostadsrätt","2024",112
"0305B2010","äganderätt","2024",571
"0305B2010","uppgift saknas","2024",0
"0305C1011","hyresrätt","2024",14
"0305C1011","bostadsrätt","2024",106
"0305C1011","äganderätt","2024",366
"0305C1011","uppgift saknas","2024",0
"0305C1012","hyresrätt","2024",7
"0305C1012","bostadsrätt","2024",26
"0305C1012","äganderätt","2024",538
"0305C1012","uppgift saknas","2024",0
"0305C1020","hyresrätt","2024",311
"0305C1020","bostadsrätt","2024",16
"0305C1020","äganderätt","2024",325
"0305C1020","uppgift saknas","2024",0
"0305C1030","hyresrätt","2024",413
"0305C1030","bostadsrätt","2024",248
"0305C1030","äganderätt","2024",707
"0305C1030","uppgift saknas","2024",0
"0305C1040","hyresrätt","2024",905
"0305C1040","bostadsrätt","2024",226
"0305C1040","äganderätt","2024",127
"0305C1040","uppgift saknas","2024",0
"0305C1050","hyresrätt","2024",19
"0305C1050","bostadsrätt","2024",128
"0305C1050","äganderätt","2024",646
"0305C1050","uppgift saknas","2024",0
"0305C1060","hyresrätt","2024",572
"0305C1060","bostadsrätt","2024",410
"0305C1060","äganderätt","2024",499
"0305C1060","uppgift saknas","2024",0
"0305C1070","hyresrätt","2024",2
"0305C1070","bostadsrätt","2024",120
"0305C1070","äganderätt","2024",518
"0305C1070","uppgift saknas","2024",0
"0305C1080","hyresrätt","2024",129
"0305C1080","bostadsrätt","2024",133
"0305C1080","äganderätt","2024",391
"0305C1080","uppgift saknas","2024",0
"Håbo (Centrala Bålsta-Mansängen)","hyresrätt","2024",905
"Håbo (Centrala Bålsta-Mansängen)","bostadsrätt","2024",226
"Håbo (Centrala Bålsta-Mansängen)","äganderätt","2024",127
"Håbo (Centrala Bålsta-Mansängen)","uppgift saknas","2024",0
"Håbo (Dyarne-Fånäs-Kalmarsand)","hyresrätt","2024",311
"Håbo (Dyarne-Fånäs-Kalmarsand)","bostadsrätt","2024",16
"Håbo (Dyarne-Fånäs-Kalmarsand)","äganderätt","2024",325
"Håbo (Dyarne-Fånäs-Kalmarsand)","uppgift saknas","2024",0
"Håbo (Håbo landsbygd)","hyresrätt","2024",39
"Håbo (Håbo landsbygd)","bostadsrätt","2024",0
