"region","ålder","år","Folkmängd"
"Håbo","20 år","2006",200
"Håbo","21 år","2006",193
"Håbo","22 år","2006",152
"Håbo","23 år","2006",114
"Håbo","24 år","2006",144
"Håbo","25 år","2006",131
"Håbo","26 år","2006",142
"Håbo","27 år","2006",166
"Håbo","28 år","2006",155
"Håbo","29 år","2006",179
"Håbo","30 år","2006",223
"Håbo","31 år","2006",257
"Håbo","32 år","2006",294
"Håbo","33 år","2006",242
"Håbo","34 år","2006",317
"Håbo","35 år","2006",338
"Håbo","36 år","2006",330
"Håbo","37 år","2006",306
"Håbo","38 år","2006",315
"Håbo","39 år","2006",358
"Håbo","40 år","2006",352
"Håbo","41 år","2006",364
"Håbo","42 år","2006",328
"Håbo","43 år","2006",278
"Håbo","44 år","2006",268
"Håbo","45 år","2006",239
"Håbo","46 år","2006",249
"Håbo","47 år","2006",195
"Håbo","48 år","2006",234
"Håbo","49 år","2006",219
"Håbo","50 år","2006",220
"Håbo","51 år","2006",182
"Håbo","52 år","2006",186
"Håbo","53 år","2006",223
"Håbo","54 år","2006",213
"Håbo","55 år","2006",245
"Håbo","56 år","2006",264
"Håbo","57 år","2006",252
"Håbo","58 år","2006",293
"Håbo","59 år","2006",292
"Håbo","60 år","2006",317
"Håbo","61 år","2006",324
"Håbo","62 år","2006",295
"Håbo","63 år","2006",295
"Håbo","64 år","2006",233
"Håbo","65 år","2006",205
"Håbo","66 år","2006",179
"Håbo","67 år","2006",177
"Håbo","68 år","2006",123
"Håbo","69 år","2006",106
"Håbo","70 år","2006",105
"Håbo","71 år","2006",92
"Håbo","72 år","2006",105
"Håbo","73 år","2006",78
"Håbo","74 år","2006",83
"Håbo","75 år","2006",77
"Håbo","76 år","2006",82
"Håbo","77 år","2006",63
"Håbo","78 år","2006",54
"Håbo","79 år","2006",51
"Håbo","80 år","2006",45
"Håbo","81 år","2006",58
"Håbo","82 år","2006",53
"Håbo","83 år","2006",39
"Håbo","84 år","2006",39
"Håbo","85 år","2006",30
"Håbo","86 år","2006",34
"Håbo","87 år","2006",16
"Håbo","88 år","2006",19
"Håbo","89 år","2006",15
"Håbo","90 år","2006",13
"Håbo","91 år","2006",4
"Håbo","92 år","2006",13
"Håbo","93 år","2006",8
"Håbo","94 år","2006",4
"Håbo","95 år","2006",2
"Håbo","96 år","2006",0
"Håbo","97 år","2006",2
"Håbo","98 år","2006",2
"Håbo","99 år","2006",0
"Håbo","100+ år","2006",0
"Älvkarleby","20 år","2006",104
"Älvkarleby","21 år","2006",90
"Älvkarleby","22 år","2006",75
"Älvkarleby","23 år","2006",63
"Älvkarleby","24 år","2006",61
"Älvkarleby","25 år","2006",67
"Älvkarleby","26 år","2006",65
"Älvkarleby","27 år","2006",73
"Älvkarleby","28 år","2006",63
"Älvkarleby","29 år","2006",76
"Älvkarleby","30 år","2006",81
"Älvkarleby","31 år","2006",99
"Älvkarleby","32 år","2006",109
