"region","år","Antal"
"Håbo","1998",824
"Håbo","1999",805
"Håbo","2000",775
"Håbo","2001",724
"Håbo","2002",701
"Håbo","2003",686
"Håbo","2004",678
"Håbo","2005",705
"Håbo","2006",655
"Håbo","2007",618
"Håbo","2008",613
"Håbo","2009",583
"Håbo","2010",602
"Håbo","2011",585
"Håbo","2012",602
"Håbo","2013",568
"Håbo","2014",546
"Håbo","2015",552
"Håbo","2016",545
"Håbo","2017",531
"Håbo","2018",514
"Håbo","2019",494
"Håbo","2020",497
"Håbo","2021",478
"Håbo","2022",492
"Håbo","2023",480
"Håbo","2024",485
"Älvkarleby","1998",581
"Älvkarleby","1999",570
"Älvkarleby","2000",575
"Älvkarleby","2001",512
"Älvkarleby","2002",500
"Älvkarleby","2003",562
"Älvkarleby","2004",542
"Älvkarleby","2005",565
"Älvkarleby","2006",583
"Älvkarleby","2007",572
"Älvkarleby","2008",610
"Älvkarleby","2009",611
"Älvkarleby","2010",611
"Älvkarleby","2011",618
"Älvkarleby","2012",646
"Älvkarleby","2013",636
"Älvkarleby","2014",636
"Älvkarleby","2015",605
"Älvkarleby","2016",603
"Älvkarleby","2017",597
"Älvkarleby","2018",663
"Älvkarleby","2019",680
"Älvkarleby","2020",675
"Älvkarleby","2021",682
"Älvkarleby","2022",679
"Älvkarleby","2023",696
"Älvkarleby","2024",690
"Knivsta","1998",0
"Knivsta","1999",0
"Knivsta","2000",0
"Knivsta","2001",0
"Knivsta","2002",0
"Knivsta","2003",1184
"Knivsta","2004",634
"Knivsta","2005",636
"Knivsta","2006",610
"Knivsta","2007",626
"Knivsta","2008",600
"Knivsta","2009",690
"Knivsta","2010",540
"Knivsta","2011",518
"Knivsta","2012",506
"Knivsta","2013",480
"Knivsta","2014",471
"Knivsta","2015",482
"Knivsta","2016",462
"Knivsta","2017",451
"Knivsta","2018",455
"Knivsta","2019",440
"Knivsta","2020",437
"Knivsta","2021",432
"Knivsta","2022",429
"Knivsta","2023",438
"Knivsta","2024",429
"Heby","1998",1733
"Heby","1999",1712
"Heby","2000",1730
"Heby","2001",1727
"Heby","2002",1708
"Heby","2003",1722
"Heby","2004",1722
"Heby","2005",1748
"Heby","2006",1757
"Heby","2007",1731
"Heby","2008",1727
"Heby","2009",1705
"Heby","2010",1719
"Heby","2011",1720
"Heby","2012",1717
"Heby","2013",1715
"Heby","2014",1683
"Heby","2015",1691
"Heby","2016",1700
"Heby","2017",1701
"Heby","2018",1704
"Heby","2019",1700
"Heby","2020",1686
"Heby","2021",1675
"Heby","2022",1667
"Heby","2023",1648
"Heby","2024",1695
"Tierp","1998",2566
"Tierp","1999",2550
"Tierp","2000",2581
"Tierp","2001",2531
"Tierp","2002",2506
"Tierp","2003",2515
"Tierp","2004",2448
"Tierp","2005",2476
"Tierp","2006",2471
"Tierp","2007",2489
"Tierp","2008",2494
"Tierp","2009",2503
"Tierp","2010",2528
"Tierp","2011",2517
"Tierp","2012",2543
"Tierp","2013",2542
"Tierp","2014",2555
"Tierp","2015",2563
"Tierp","2016",2538
"Tierp","2017",2557
"Tierp","2018",2607
"Tierp","2019",2603
"Tierp","2020",2618
"Tierp","2021",2637
"Tierp","2022",2639
"Tierp","2023",2665
"Tierp","2024",2717
"Uppsala","1998",5313
"Uppsala","1999",5208
"Uppsala","2000",5156
"Uppsala","2001",4868
"Uppsala","2002",4750
"Uppsala","2003",4225
"Uppsala","2004",4274
"Uppsala","2005",4298
"Uppsala","2006",4360
"Uppsala","2007",4146
"Uppsala","2008",3971
"Uppsala","2009",3819
"Uppsala","2010",3673
"Uppsala","2011",3623
"Uppsala","2012",3533
"Uppsala","2013",3499
"Uppsala","2014",3447
"Uppsala","2015",3423
"Uppsala","2016",3665
"Uppsala","2017",3619
"Uppsala","2018",3873
"Uppsala","2019",3809
"Uppsala","2020",3772
"Uppsala","2021",3722
"Uppsala","2022",3721
"Uppsala","2023",3686
"Uppsala","2024",3683
"Enköping","1998",2873
"Enköping","1999",2850
"Enköping","2000",2831
"Enköping","2001",2773
"Enköping","2002",2622
"Enköping","2003",2664
"Enköping","2004",2634
"Enköping","2005",2641
"Enköping","2006",2619
"Enköping","2007",2563
"Enköping","2008",2633
"Enköping","2009",2587
"Enköping","2010",2550
"Enköping","2011",2529
"Enköping","2012",2486
"Enköping","2013",2475
"Enköping","2014",2474
"Enköping","2015",2440
"Enköping","2016",2407
"Enköping","2017",2395
"Enköping","2018",2465
"Enköping","2019",2477
"Enköping","2020",2453
"Enköping","2021",2401
"Enköping","2022",2387
"Enköping","2023",2402
"Enköping","2024",2402
"Östhammar","1998",5251
"Östhammar","1999",5252
"Östhammar","2000",5264
"Östhammar","2001",5248
"Östhammar","2002",5259
"Östhammar","2003",5328
"Östhammar","2004",5338
"Östhammar","2005",5334
"Östhammar","2006",5449
"Östhammar","2007",5461
"Östhammar","2008",5489
"Östhammar","2009",5579
"Östhammar","2010",5613
"Östhammar","2011",5610
"Östhammar","2012",5616
"Östhammar","2013",5631
"Östhammar","2014",5625
"Östhammar","2015",5702
"Östhammar","2016",5731
"Östhammar","2017",5755
"Östhammar","2018",5896
"Östhammar","2019",5909
"Östhammar","2020",5924
"Östhammar","2021",5964
"Östhammar","2022",5950
"Östhammar","2023",5990
"Östhammar","2024",6104
