"region","hyresuppgift","år","Medianhyra i hyreslägenhet"
"Håbo","Ny månadshyra per kvm","2016",92
"Håbo","Ny månadshyra per kvm","2017",93
"Håbo","Ny månadshyra per kvm","2018",97
"Håbo","Ny månadshyra per kvm","2019",98
"Håbo","Ny månadshyra per kvm","2020",102
"Håbo","Ny månadshyra per kvm","2021",108
"Håbo","Ny månadshyra per kvm","2022",108
"Håbo","Ny månadshyra per kvm","2023",111
"Håbo","Ny månadshyra per kvm","2024",121
"Älvkarleby","Ny månadshyra per kvm","2016",81
"Älvkarleby","Ny månadshyra per kvm","2017",83
"Älvkarleby","Ny månadshyra per kvm","2018",82
"Älvkarleby","Ny månadshyra per kvm","2019",87
"Älvkarleby","Ny månadshyra per kvm","2020",88
"Älvkarleby","Ny månadshyra per kvm","2021",89
"Älvkarleby","Ny månadshyra per kvm","2022",91
"Älvkarleby","Ny månadshyra per kvm","2023",95
"Älvkarleby","Ny månadshyra per kvm","2024",98
"Knivsta","Ny månadshyra per kvm","2016",87
"Knivsta","Ny månadshyra per kvm","2017",89
"Knivsta","Ny månadshyra per kvm","2018",89
"Knivsta","Ny månadshyra per kvm","2019",100
"Knivsta","Ny månadshyra per kvm","2020",96
"Knivsta","Ny månadshyra per kvm","2021",105
"Knivsta","Ny månadshyra per kvm","2022",114
"Knivsta","Ny månadshyra per kvm","2023",125
"Knivsta","Ny månadshyra per kvm","2024",151
"Heby","Ny månadshyra per kvm","2016",79
"Heby","Ny månadshyra per kvm","2017",79
"Heby","Ny månadshyra per kvm","2018",79
"Heby","Ny månadshyra per kvm","2019",83
"Heby","Ny månadshyra per kvm","2020",88
"Heby","Ny månadshyra per kvm","2021",89
"Heby","Ny månadshyra per kvm","2022",87
"Heby","Ny månadshyra per kvm","2023",95
"Heby","Ny månadshyra per kvm","2024",101
"Tierp","Ny månadshyra per kvm","2016",86
"Tierp","Ny månadshyra per kvm","2017",86
"Tierp","Ny månadshyra per kvm","2018",86
"Tierp","Ny månadshyra per kvm","2019",90
"Tierp","Ny månadshyra per kvm","2020",91
"Tierp","Ny månadshyra per kvm","2021",92
"Tierp","Ny månadshyra per kvm","2022",95
"Tierp","Ny månadshyra per kvm","2023",99
"Tierp","Ny månadshyra per kvm","2024",104
"Uppsala","Ny månadshyra per kvm","2016",93
"Uppsala","Ny månadshyra per kvm","2017",95
"Uppsala","Ny månadshyra per kvm","2018",96
"Uppsala","Ny månadshyra per kvm","2019",107
"Uppsala","Ny månadshyra per kvm","2020",114
"Uppsala","Ny månadshyra per kvm","2021",116
"Uppsala","Ny månadshyra per kvm","2022",121
"Uppsala","Ny månadshyra per kvm","2023",129
"Uppsala","Ny månadshyra per kvm","2024",141
"Enköping","Ny månadshyra per kvm","2016",88
"Enköping","Ny månadshyra per kvm","2017",91
"Enköping","Ny månadshyra per kvm","2018",87
"Enköping","Ny månadshyra per kvm","2019",90
"Enköping","Ny månadshyra per kvm","2020",93
"Enköping","Ny månadshyra per kvm","2021",96
"Enköping","Ny månadshyra per kvm","2022",103
"Enköping","Ny månadshyra per kvm","2023",112
"Enköping","Ny månadshyra per kvm","2024",129
"Östhammar","Ny månadshyra per kvm","2016",82
"Östhammar","Ny månadshyra per kvm","2017",83
"Östhammar","Ny månadshyra per kvm","2018",84
"Östhammar","Ny månadshyra per kvm","2019",88
"Östhammar","Ny månadshyra per kvm","2020",87
"Östhammar","Ny månadshyra per kvm","2021",88
"Östhammar","Ny månadshyra per kvm","2022",88
"Östhammar","Ny månadshyra per kvm","2023",92
"Östhammar","Ny månadshyra per kvm","2024",97
