"region","hustyp","lägenhetstyp","år","Antal"
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2013",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2014",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2015",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2016",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2017",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2018",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2019",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2020",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2021",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2022",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2023",0
"Håbo","flerbostadshus","lägenheter utan köksutrustning","2024",0
"Håbo","flerbostadshus","1 rum och kök","2013",238
"Håbo","flerbostadshus","1 rum och kök","2014",239
"Håbo","flerbostadshus","1 rum och kök","2015",239
"Håbo","flerbostadshus","1 rum och kök","2016",243
"Håbo","flerbostadshus","1 rum och kök","2017",243
"Håbo","flerbostadshus","1 rum och kök","2018",251
"Håbo","flerbostadshus","1 rum och kök","2019",265
"Håbo","flerbostadshus","1 rum och kök","2020",265
"Håbo","flerbostadshus","1 rum och kök","2021",283
"Håbo","flerbostadshus","1 rum och kök","2022",359
"Håbo","flerbostadshus","1 rum och kök","2023",408
"Håbo","flerbostadshus","1 rum och kök","2024",452
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2013",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2014",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2015",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2016",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2017",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2018",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2019",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2020",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2021",78
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2022",84
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2023",121
"Håbo","flerbostadshus","1 rum och kokvrå/kokskåp","2024",121
"Håbo","flerbostadshus","2 rum och kök","2013",808
"Håbo","flerbostadshus","2 rum och kök","2014",808
"Håbo","flerbostadshus","2 rum och kök","2015",808
"Håbo","flerbostadshus","2 rum och kök","2016",875
"Håbo","flerbostadshus","2 rum och kök","2017",875
"Håbo","flerbostadshus","2 rum och kök","2018",905
"Håbo","flerbostadshus","2 rum och kök","2019",987
"Håbo","flerbostadshus","2 rum och kök","2020",993
"Håbo","flerbostadshus","2 rum och kök","2021",1035
