"region","lägenhetstyp","år","Lägenheter i flerbostadshus, allmännyttiga","Lediga lägenheter i flerbostadshus, allmännyttiga","Andel lediga lägenheter i flerbostadshus, allmännyttiga"
"Håbo","1 rum och kök","2019",287,2,0.7
"Håbo","1 rum och kök","2021",255,0,0
"Håbo","1 rum och kök","2024",266,0,0
"Håbo","2 rum och kök","2019",416,1,0.2
"Håbo","2 rum och kök","2021",430,0,0
"Håbo","2 rum och kök","2024",489,0,0
"Håbo","3 rum och kök","2019",434,0,0
"Håbo","3 rum och kök","2021",445,0,0
"Håbo","3 rum och kök","2024",450,1,0.2
"Håbo","4 rum och kök","2019",146,0,0
"Håbo","4 rum och kök","2021",146,0,0
"Håbo","4 rum och kök","2024",146,0,0
"Håbo","5 eller flera rum och kök","2019",6,0,0
"Håbo","5 eller flera rum och kök","2021",6,0,0
"Håbo","5 eller flera rum och kök","2024",6,0,0
"Håbo","övriga","2019",0,0,0
"Håbo","övriga","2021",0,0,0
"Håbo","övriga","2024",0,0,0
"Håbo","totalt","2019",1289,3,0.2
"Håbo","totalt","2021",1282,0,0
"Håbo","totalt","2024",1357,1,0.1
"Älvkarleby","1 rum och kök","2019",208,5,2.4
"Älvkarleby","1 rum och kök","2021",184,1,0.5
"Älvkarleby","1 rum och kök","2024",201,5,2.5
"Älvkarleby","2 rum och kök","2019",493,12,2.4
"Älvkarleby","2 rum och kök","2021",507,4,0.8
"Älvkarleby","2 rum och kök","2024",541,0,0
"Älvkarleby","3 rum och kök","2019",230,4,1.7
"Älvkarleby","3 rum och kök","2021",247,1,0.4
"Älvkarleby","3 rum och kök","2024",261,0,0
"Älvkarleby","4 rum och kök","2019",45,0,0
"Älvkarleby","4 rum och kök","2021",43,0,0
"Älvkarleby","4 rum och kök","2024",43,0,0
"Älvkarleby","5 eller flera rum och kök","2019",4,0,0
"Älvkarleby","5 eller flera rum och kök","2021",5,0,0
"Älvkarleby","5 eller flera rum och kök","2024",6,0,0
"Älvkarleby","övriga","2019",0,0,0
"Älvkarleby","övriga","2021",36,0,0
"Älvkarleby","övriga","2024",36,1,2.8
"Älvkarleby","totalt","2019",980,21,2.1
