"region","hustyp","upplåtelseform","år","Antal"
"Håbo","flerbostadshus","hyresrätt","1991",51
"Håbo","flerbostadshus","hyresrätt","1992",80
"Håbo","flerbostadshus","hyresrätt","1993",177
"Håbo","flerbostadshus","hyresrätt","1994",73
"Håbo","flerbostadshus","hyresrätt","1995",21
"Håbo","flerbostadshus","hyresrätt","1996",22
"Håbo","flerbostadshus","hyresrätt","1997",0
"Håbo","flerbostadshus","hyresrätt","1998",0
"Håbo","flerbostadshus","hyresrätt","1999",0
"Håbo","flerbostadshus","hyresrätt","2000",26
"Håbo","flerbostadshus","hyresrätt","2001",0
"Håbo","flerbostadshus","hyresrätt","2002",16
"Håbo","flerbostadshus","hyresrätt","2003",100
"Håbo","flerbostadshus","hyresrätt","2004",0
"Håbo","flerbostadshus","hyresrätt","2005",0
"Håbo","flerbostadshus","hyresrätt","2006",0
"Håbo","flerbostadshus","hyresrätt","2007",0
"Håbo","flerbostadshus","hyresrätt","2008",101
"Håbo","flerbostadshus","hyresrätt","2009",0
"Håbo","flerbostadshus","hyresrätt","2010",0
"Håbo","flerbostadshus","hyresrätt","2011",0
"Håbo","flerbostadshus","hyresrätt","2012",0
"Håbo","flerbostadshus","hyresrätt","2013",40
"Håbo","flerbostadshus","hyresrätt","2014",0
"Håbo","flerbostadshus","hyresrätt","2015",0
"Håbo","flerbostadshus","hyresrätt","2016",0
"Håbo","flerbostadshus","hyresrätt","2017",0
"Håbo","flerbostadshus","hyresrätt","2018",75
"Håbo","flerbostadshus","hyresrätt","2019",86
"Håbo","flerbostadshus","hyresrätt","2020",0
"Håbo","flerbostadshus","hyresrätt","2021",60
"Håbo","flerbostadshus","hyresrätt","2022",66
"Håbo","flerbostadshus","hyresrätt","2023",210
"Håbo","flerbostadshus","hyresrätt","2024",0
"Håbo","flerbostadshus","bostadsrätt","1991",0
"Håbo","flerbostadshus","bostadsrätt","1992",0
"Håbo","flerbostadshus","bostadsrätt","1993",0
"Håbo","flerbostadshus","bostadsrätt","1994",0
"Håbo","flerbostadshus","bostadsrätt","1995",0
"Håbo","flerbostadshus","bostadsrätt","1996",0
"Håbo","flerbostadshus","bostadsrätt","1997",0
"Håbo","flerbostadshus","bostadsrätt","1998",0
"Håbo","flerbostadshus","bostadsrätt","1999",0
"Håbo","flerbostadshus","bostadsrätt","2000",0
"Håbo","flerbostadshus","bostadsrätt","2001",0
"Håbo","flerbostadshus","bostadsrätt","2002",0
"Håbo","flerbostadshus","bostadsrätt","2003",0
"Håbo","flerbostadshus","bostadsrätt","2004",0
"Håbo","flerbostadshus","bostadsrätt","2005",53
"Håbo","flerbostadshus","bostadsrätt","2006",0
"Håbo","flerbostadshus","bostadsrätt","2007",96
"Håbo","flerbostadshus","bostadsrätt","2008",0
"Håbo","flerbostadshus","bostadsrätt","2009",30
"Håbo","flerbostadshus","bostadsrätt","2010",20
"Håbo","flerbostadshus","bostadsrätt","2011",0
"Håbo","flerbostadshus","bostadsrätt","2012",0
"Håbo","flerbostadshus","bostadsrätt","2013",0
"Håbo","flerbostadshus","bostadsrätt","2014",0
"Håbo","flerbostadshus","bostadsrätt","2015",16
"Håbo","flerbostadshus","bostadsrätt","2016",0
"Håbo","flerbostadshus","bostadsrätt","2017",0
"Håbo","flerbostadshus","bostadsrätt","2018",36
"Håbo","flerbostadshus","bostadsrätt","2019",71
"Håbo","flerbostadshus","bostadsrätt","2020",0
"Håbo","flerbostadshus","bostadsrätt","2021",161
"Håbo","flerbostadshus","bostadsrätt","2022",8
"Håbo","flerbostadshus","bostadsrätt","2023",0
"Håbo","flerbostadshus","bostadsrätt","2024",0
"Håbo","flerbostadshus","äganderätt","1991",0
"Håbo","flerbostadshus","äganderätt","1992",0
"Håbo","flerbostadshus","äganderätt","1993",0
"Håbo","flerbostadshus","äganderätt","1994",0
"Håbo","flerbostadshus","äganderätt","1995",0
"Håbo","flerbostadshus","äganderätt","1996",0
"Håbo","flerbostadshus","äganderätt","1997",0
"Håbo","flerbostadshus","äganderätt","1998",0
"Håbo","flerbostadshus","äganderätt","1999",0
"Håbo","flerbostadshus","äganderätt","2000",0
"Håbo","flerbostadshus","äganderätt","2001",0
"Håbo","flerbostadshus","äganderätt","2002",0
"Håbo","flerbostadshus","äganderätt","2003",0
"Håbo","flerbostadshus","äganderätt","2004",0
"Håbo","flerbostadshus","äganderätt","2005",0
"Håbo","flerbostadshus","äganderätt","2006",0
"Håbo","flerbostadshus","äganderätt","2007",0
"Håbo","flerbostadshus","äganderätt","2008",0
"Håbo","flerbostadshus","äganderätt","2009",0
"Håbo","flerbostadshus","äganderätt","2010",0
"Håbo","flerbostadshus","äganderätt","2011",0
"Håbo","flerbostadshus","äganderätt","2012",0
"Håbo","flerbostadshus","äganderätt","2013",0
"Håbo","flerbostadshus","äganderätt","2014",0
"Håbo","flerbostadshus","äganderätt","2015",0
"Håbo","flerbostadshus","äganderätt","2016",0
"Håbo","flerbostadshus","äganderätt","2017",0
"Håbo","flerbostadshus","äganderätt","2018",0
"Håbo","flerbostadshus","äganderätt","2019",0
"Håbo","flerbostadshus","äganderätt","2020",0
"Håbo","flerbostadshus","äganderätt","2021",0
"Håbo","flerbostadshus","äganderätt","2022",0
"Håbo","flerbostadshus","äganderätt","2023",0
"Håbo","flerbostadshus","äganderätt","2024",0
"Håbo","småhus","hyresrätt","1991",84
"Håbo","småhus","hyresrätt","1992",0
"Håbo","småhus","hyresrätt","1993",2
"Håbo","småhus","hyresrätt","1994",0
"Håbo","småhus","hyresrätt","1995",0
"Håbo","småhus","hyresrätt","1996",0
"Håbo","småhus","hyresrätt","1997",0
"Håbo","småhus","hyresrätt","1998",1
"Håbo","småhus","hyresrätt","1999",0
"Håbo","småhus","hyresrätt","2000",0
"Håbo","småhus","hyresrätt","2001",0
"Håbo","småhus","hyresrätt","2002",0
"Håbo","småhus","hyresrätt","2003",0
"Håbo","småhus","hyresrätt","2004",0
"Håbo","småhus","hyresrätt","2005",0
"Håbo","småhus","hyresrätt","2006",0
"Håbo","småhus","hyresrätt","2007",0
"Håbo","småhus","hyresrätt","2008",0
"Håbo","småhus","hyresrätt","2009",0
"Håbo","småhus","hyresrätt","2010",0
"Håbo","småhus","hyresrätt","2011",0
"Håbo","småhus","hyresrätt","2012",0
"Håbo","småhus","hyresrätt","2013",0
"Håbo","småhus","hyresrätt","2014",0
"Håbo","småhus","hyresrätt","2015",0
"Håbo","småhus","hyresrätt","2016",0
"Håbo","småhus","hyresrätt","2017",0
"Håbo","småhus","hyresrätt","2018",0
"Håbo","småhus","hyresrätt","2019",0
"Håbo","småhus","hyresrätt","2020",0
"Håbo","småhus","hyresrätt","2021",0
"Håbo","småhus","hyresrätt","2022",0
"Håbo","småhus","hyresrätt","2023",0
"Håbo","småhus","hyresrätt","2024",0
"Håbo","småhus","bostadsrätt","1991",60
"Håbo","småhus","bostadsrätt","1992",68
"Håbo","småhus","bostadsrätt","1993",71
"Håbo","småhus","bostadsrätt","1994",0
"Håbo","småhus","bostadsrätt","1995",0
"Håbo","småhus","bostadsrätt","1996",0
"Håbo","småhus","bostadsrätt","1997",0
"Håbo","småhus","bostadsrätt","1998",0
