"region","typ av specialbostad","bostadsarea","år","Antal"
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2013",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2014",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2015",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2016",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2017",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2018",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2019",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2020",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2021",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2022",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2023",0
"Håbo","specialbostad för äldre/funktionshindrade","< 11 kvm","2024",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2013",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2014",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2015",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2016",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2017",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2018",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2019",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2020",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2021",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2022",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2023",0
"Håbo","specialbostad för äldre/funktionshindrade","11-20 kvm","2024",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2013",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2014",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2015",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2016",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2017",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2018",0
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2019",20
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2020",20
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2021",20
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2022",20
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2023",20
"Håbo","specialbostad för äldre/funktionshindrade","21-30 kvm","2024",20
"Håbo","specialbostad för äldre/funktionshindrade","31-40 kvm","2013",38
"Håbo","specialbostad för äldre/funktionshindrade","31-40 kvm","2014",38
"Håbo","specialbostad för äldre/funktionshindrade","31-40 kvm","2015",38
"Håbo","specialbostad för äldre/funktionshindrade","31-40 kvm","2016",38
"Håbo","specialbostad för äldre/funktionshindrade","31-40 kvm","2017",38
