"region","hustyp","upplåtelseform","år","Antal"
"Håbo","småhus","hyresrätt","1990",163
"Håbo","småhus","hyresrätt","1991",242
"Håbo","småhus","hyresrätt","1992",237
"Håbo","småhus","hyresrätt","1993",234
"Håbo","småhus","hyresrätt","1994",229
"Håbo","småhus","hyresrätt","1995",224
"Håbo","småhus","hyresrätt","1996",219
"Håbo","småhus","hyresrätt","1997",214
"Håbo","småhus","hyresrätt","1998",210
"Håbo","småhus","hyresrätt","1999",205
"Håbo","småhus","hyresrätt","2000",200
"Håbo","småhus","hyresrätt","2001",195
"Håbo","småhus","hyresrätt","2002",190
"Håbo","småhus","hyresrätt","2003",185
"Håbo","småhus","hyresrätt","2004",180
"Håbo","småhus","hyresrätt","2005",175
"Håbo","småhus","hyresrätt","2006",170
"Håbo","småhus","hyresrätt","2007",165
"Håbo","småhus","hyresrätt","2008",160
"Håbo","småhus","hyresrätt","2009",155
"Håbo","småhus","hyresrätt","2010",150
"Håbo","småhus","hyresrätt","2011",145
"Håbo","småhus","hyresrätt","2012",140
"Håbo","småhus","hyresrätt","2013",140
"Håbo","småhus","hyresrätt","2014",129
"Håbo","småhus","hyresrätt","2015",116
"Håbo","småhus","hyresrätt","2016",87
"Håbo","småhus","hyresrätt","2017",115
"Håbo","småhus","hyresrätt","2018",152
"Håbo","småhus","hyresrätt","2019",112
"Håbo","småhus","hyresrätt","2020",110
"Håbo","småhus","hyresrätt","2021",114
"Håbo","småhus","hyresrätt","2022",120
"Håbo","småhus","hyresrätt","2023",112
"Håbo","småhus","hyresrätt","2024",115
"Håbo","småhus","bostadsrätt","1990",87
"Håbo","småhus","bostadsrätt","1991",147
"Håbo","småhus","bostadsrätt","1992",215
"Håbo","småhus","bostadsrätt","1993",286
"Håbo","småhus","bostadsrätt","1994",286
"Håbo","småhus","bostadsrätt","1995",286
"Håbo","småhus","bostadsrätt","1996",286
"Håbo","småhus","bostadsrätt","1997",286
"Håbo","småhus","bostadsrätt","1998",286
"Håbo","småhus","bostadsrätt","1999",286
"Håbo","småhus","bostadsrätt","2000",286
"Håbo","småhus","bostadsrätt","2001",287
"Håbo","småhus","bostadsrätt","2002",287
"Håbo","småhus","bostadsrätt","2003",287
"Håbo","småhus","bostadsrätt","2004",287
"Håbo","småhus","bostadsrätt","2005",287
"Håbo","småhus","bostadsrätt","2006",287
"Håbo","småhus","bostadsrätt","2007",303
"Håbo","småhus","bostadsrätt","2008",305
"Håbo","småhus","bostadsrätt","2009",305
"Håbo","småhus","bostadsrätt","2010",305
"Håbo","småhus","bostadsrätt","2011",305
"Håbo","småhus","bostadsrätt","2012",305
"Håbo","småhus","bostadsrätt","2013",305
"Håbo","småhus","bostadsrätt","2014",309
"Håbo","småhus","bostadsrätt","2015",321
"Håbo","småhus","bostadsrätt","2016",357
"Håbo","småhus","bostadsrätt","2017",366
"Håbo","småhus","bostadsrätt","2018",382
"Håbo","småhus","bostadsrätt","2019",440
"Håbo","småhus","bostadsrätt","2020",440
"Håbo","småhus","bostadsrätt","2021",490
"Håbo","småhus","bostadsrätt","2022",490
"Håbo","småhus","bostadsrätt","2023",490
"Håbo","småhus","bostadsrätt","2024",506
"Håbo","småhus","äganderätt","1990",4088
"Håbo","småhus","äganderätt","1991",4149
"Håbo","småhus","äganderätt","1992",4204
"Håbo","småhus","äganderätt","1993",4240
"Håbo","småhus","äganderätt","1994",4267
"Håbo","småhus","äganderätt","1995",4295
"Håbo","småhus","äganderätt","1996",4328
"Håbo","småhus","äganderätt","1997",4357
"Håbo","småhus","äganderätt","1998",4391
"Håbo","småhus","äganderätt","1999",4422
"Håbo","småhus","äganderätt","2000",4455
"Håbo","småhus","äganderätt","2001",4494
"Håbo","småhus","äganderätt","2002",4547
"Håbo","småhus","äganderätt","2003",4716
"Håbo","småhus","äganderätt","2004",4847
"Håbo","småhus","äganderätt","2005",4906
"Håbo","småhus","äganderätt","2006",4953
"Håbo","småhus","äganderätt","2007",5005
"Håbo","småhus","äganderätt","2008",5063
"Håbo","småhus","äganderätt","2009",5110
"Håbo","småhus","äganderätt","2010",5161
"Håbo","småhus","äganderätt","2011",5205
"Håbo","småhus","äganderätt","2012",5244
"Håbo","småhus","äganderätt","2013",5263
"Håbo","småhus","äganderätt","2014",5285
"Håbo","småhus","äganderätt","2015",5329
"Håbo","småhus","äganderätt","2016",5444
"Håbo","småhus","äganderätt","2017",5519
"Håbo","småhus","äganderätt","2018",5573
"Håbo","småhus","äganderätt","2019",5606
"Håbo","småhus","äganderätt","2020",5640
"Håbo","småhus","äganderätt","2021",5654
"Håbo","småhus","äganderätt","2022",5697
"Håbo","småhus","äganderätt","2023",5699
"Håbo","småhus","äganderätt","2024",5675
"Håbo","småhus","uppgift saknas","1990",0
"Håbo","småhus","uppgift saknas","1991",0
"Håbo","småhus","uppgift saknas","1992",0
"Håbo","småhus","uppgift saknas","1993",0
"Håbo","småhus","uppgift saknas","1994",0
"Håbo","småhus","uppgift saknas","1995",0
"Håbo","småhus","uppgift saknas","1996",0
"Håbo","småhus","uppgift saknas","1997",0
"Håbo","småhus","uppgift saknas","1998",0
"Håbo","småhus","uppgift saknas","1999",0
"Håbo","småhus","uppgift saknas","2000",0
"Håbo","småhus","uppgift saknas","2001",0
"Håbo","småhus","uppgift saknas","2002",0
"Håbo","småhus","uppgift saknas","2003",0
"Håbo","småhus","uppgift saknas","2004",0
"Håbo","småhus","uppgift saknas","2005",0
"Håbo","småhus","uppgift saknas","2006",0
"Håbo","småhus","uppgift saknas","2007",0
"Håbo","småhus","uppgift saknas","2008",0
"Håbo","småhus","uppgift saknas","2009",0
"Håbo","småhus","uppgift saknas","2010",0
"Håbo","småhus","uppgift saknas","2011",0
"Håbo","småhus","uppgift saknas","2012",0
"Håbo","småhus","uppgift saknas","2013",0
"Håbo","småhus","uppgift saknas","2014",0
"Håbo","småhus","uppgift saknas","2015",0
"Håbo","småhus","uppgift saknas","2016",6
"Håbo","småhus","uppgift saknas","2017",5
"Håbo","småhus","uppgift saknas","2018",5
"Håbo","småhus","uppgift saknas","2019",4
"Håbo","småhus","uppgift saknas","2020",4
"Håbo","småhus","uppgift saknas","2021",4
"Håbo","småhus","uppgift saknas","2022",4
"Håbo","småhus","uppgift saknas","2023",3
"Håbo","småhus","uppgift saknas","2024",4
"Håbo","flerbostadshus","hyresrätt","1990",714
"Håbo","flerbostadshus","hyresrätt","1991",775
"Håbo","flerbostadshus","hyresrätt","1992",861
"Håbo","flerbostadshus","hyresrätt","1993",1044
"Håbo","flerbostadshus","hyresrätt","1994",1130
"Håbo","flerbostadshus","hyresrätt","1995",1135
"Håbo","flerbostadshus","hyresrätt","1996",1172
"Håbo","flerbostadshus","hyresrätt","1997",1192
"Håbo","flerbostadshus","hyresrätt","1998",1198
"Håbo","flerbostadshus","hyresrätt","1999",1244
"Håbo","flerbostadshus","hyresrätt","2000",1276
"Håbo","flerbostadshus","hyresrätt","2001",1282
"Håbo","flerbostadshus","hyresrätt","2002",1308
"Håbo","flerbostadshus","hyresrätt","2003",1414
"Håbo","flerbostadshus","hyresrätt","2004",1420
"Håbo","flerbostadshus","hyresrätt","2005",1426
"Håbo","flerbostadshus","hyresrätt","2006",1432
"Håbo","flerbostadshus","hyresrätt","2007",1438
"Håbo","flerbostadshus","hyresrätt","2008",1545
"Håbo","flerbostadshus","hyresrätt","2009",1551
"Håbo","flerbostadshus","hyresrätt","2010",1557
"Håbo","flerbostadshus","hyresrätt","2011",1563
"Håbo","flerbostadshus","hyresrätt","2012",1569
"Håbo","flerbostadshus","hyresrätt","2013",1515
"Håbo","flerbostadshus","hyresrätt","2014",1502
"Håbo","flerbostadshus","hyresrätt","2015",1502
"Håbo","flerbostadshus","hyresrätt","2016",1602
"Håbo","flerbostadshus","hyresrätt","2017",1573
"Håbo","flerbostadshus","hyresrätt","2018",1584
"Håbo","flerbostadshus","hyresrätt","2019",1779
"Håbo","flerbostadshus","hyresrätt","2020",1779
